Date,Close
2022-11-01,1326.85
2022-10-01,1425.83
2022-09-01,1439.96
2022-08-01,1341.19
2022-07-01,1302.97
2022-06-01,1287.51
2022-05-01,1242.26
2022-04-01,1263.03
2022-03-01,1214.17
2022-02-01,1200.12
2022-01-01,1204.63
2021-12-01,1187.96
2021-11-01,1182.71
2021-10-01,1174.47
2021-09-01,1184.23
2021-08-01,1158.73
2021-07-01,1151.41
2021-06-01,1130.48
2021-05-01,1106.58
2021-04-01,1117.16
2021-03-01,1127.17
2021-02-01,1123.89
2021-01-01,1117.64
2020-12-01,1084.47
2020-11-01,1109.32
2020-10-01,1136.49
2020-09-01,1164.65
2020-08-01,1187.94
2020-07-01,1193.59
2020-06-01,1199.28
2020-05-01,1231.49
2020-04-01,1212.94
2020-03-01,1218.3
2020-02-01,1200.2
2020-01-01,1194.97
2019-12-01,1154.07
2019-11-01,1180.7
2019-10-01,1169.24
2019-09-01,1198.09
2019-08-01,1209.5
2019-07-01,1187.32
2019-06-01,1155.38
2019-05-01,1187.8
2019-04-01,1163.25
2019-03-01,1136.1
2019-02-01,1124.6
2019-01-01,1111.4
2018-12-01,1113.3
2018-11-01,1119.44
2018-10-01,1141.02
2018-09-01,1109.98
2018-08-01,1115.46
2018-07-01,1112.25
2018-06-01,1113.91
2018-05-01,1079.59
2018-04-01,1069.33
2018-03-01,1060.25
2018-02-01,1084.21
2018-01-01,1069.08
2017-12-01,1066.37
2017-11-01,1087.13
2017-10-01,1117.42
2017-09-01,1144.29
2017-08-01,1123.85
2017-07-01,1118.4
2017-06-01,1144.43
2017-05-01,1118.65
2017-04-01,1136.87
2017-03-01,1116.65
2017-02-01,1136.39
2017-01-01,1150.65
2016-12-01,1206.25
2016-11-01,1176.39
2016-10-01,1141.73
2016-09-01,1100.91
2016-08-01,1115.29
2016-07-01,1110.89
2016-06-01,1150.99
2016-05-01,1188.39
2016-04-01,1143.83
2016-03-01,1143.97
2016-02-01,1237.24
2016-01-01,1207.11
2015-12-01,1174.95
2015-11-01,1159.61
2015-10-01,1140.16
2015-09-01,1184.44
2015-08-01,1181.82
2015-07-01,1165.67
2015-06-01,1119.03
2015-05-01,1112.01
2015-04-01,1076.34
2015-03-01,1107.99
2015-02-01,1100.53
2015-01-01,1101.4
2014-12-01,1092.9
2014-11-01,1112.45
2014-10-01,1072.6
2014-09-01,1054.55
2014-08-01,1013.85
2014-07-01,1027.75
2014-06-01,1011.5
2014-05-01,1020.3
2014-04-01,1032.75
2014-03-01,1064.65
2014-02-01,1066.01
2014-01-01,1080.36
2013-12-01,1049.5
2013-11-01,1057.76
2013-10-01,1060.83
2013-09-01,1073.58
2013-08-01,1109.42
2013-07-01,1123.25
2013-06-01,1141.45
2013-05-01,1130.51
2013-04-01,1101.16
2013-03-01,1111.05
2013-02-01,1083.9
2013-01-01,1087.31
2012-12-01,1063.24
2012-11-01,1081.5
2012-10-01,1089.92
2012-09-01,1113.07
2012-08-01,1133.19
2012-07-01,1130.27
2012-06-01,1140.72
2012-05-01,1179.87
2012-04-01,1129.55
